# PcbXY Version 1.0
# Date: Sat 04 Apr 2015 06:08:16 PM GMT UTC
# Author: Peter Monta
# Title: GNSS Firehose - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
TP20,"TP_SMT.fp","unknown",2608.00,1807.00,0,top
R139,"0402.fp","1k",1949.00,3062.00,0,top
R140,"0402.fp","1k",1949.00,3002.00,0,top
R141,"0402.fp","1k",1790.00,2503.00,180,top
R142,"0402.fp","1k",1838.26,2452.00,180,top
TP22,"TP_SMT.fp","unknown",2788.00,1002.00,0,top
TP23,"TP_SMT.fp","unknown",3024.00,3115.00,0,top
R143,"1210.fp","0",2216.00,3366.00,90,top
C237,"1210.fp","NONE",2156.00,3534.00,0,top
MH1,"HOLE_UNC_2_56.fp","unknown",325.00,3525.00,0,top
MH3,"HOLE_UNC_2_56.fp","unknown",325.00,375.00,0,top
MH4,"HOLE_UNC_2_56.fp","unknown",4315.00,375.00,0,top
R135,"0402.fp","0",352.00,1320.00,0,top
R136,"0402.fp","0",301.00,688.00,0,top
SC1,"S1721.fp","unknown",585.00,3525.00,0,top
SC2,"S1721.fp","unknown",1030.00,3525.00,0,top
SC3,"S1721.fp","unknown",585.00,2895.00,0,top
SC4,"S1721.fp","unknown",1030.00,2895.00,0,top
SC5,"S1721.fp","unknown",585.00,2265.00,0,top
SC6,"S1721.fp","unknown",1030.00,2265.00,0,top
SC7,"S1721.fp","unknown",585.00,1635.00,0,top
SC8,"S1721.fp","unknown",1030.00,1635.00,0,top
J10,"HEADER16_100MIL.fp","unknown",3650.00,2150.00,180,top
R133,"0603.fp","10",1846.00,521.00,180,top
TP3,"TP_SMT.fp","unknown",1232.00,543.00,0,top
TP4,"TP_SMT.fp","unknown",1224.00,592.00,0,top
TP5,"TP_SMT.fp","unknown",1362.00,493.00,0,top
TP6,"TP_SMT.fp","unknown",1399.00,462.00,0,top
TP7,"TP_SMT.fp","unknown",1434.00,490.00,0,top
TP8,"TP_SMT.fp","unknown",1436.00,448.00,0,top
TP9,"TP_SMT.fp","unknown",1718.00,728.00,0,top
TP10,"TP_SMT.fp","unknown",1718.00,758.00,0,top
TP11,"TP_SMT.fp","unknown",1598.00,518.00,0,top
TP12,"TP_SMT.fp","unknown",1636.00,520.00,0,top
TP1,"TP_SMT.fp","unknown",1648.00,1012.00,0,top
TP2,"TP_SMT.fp","unknown",1610.00,1012.00,0,top
C182,"0402.fp","0.1_uF",2644.74,967.00,180,bottom
C183,"0402.fp","0.1_uF",2523.00,1262.00,180,bottom
C184,"0402.fp","0.1_uF",2619.00,1402.00,180,bottom
C186,"0402.fp","0.1_uF",2679.26,1469.00,0,bottom
C187,"0402.fp","0.1_uF",2498.00,994.00,180,bottom
R129,"0402.fp","NONE",475.00,1303.26,90,top
R130,"0402.fp","NONE",598.00,1302.00,90,top
R131,"0402.fp","0",536.00,1319.00,0,top
R95,"0402.fp","12.1k_1%",2953.00,929.00,90,top
R96,"0402.fp","470",2630.74,831.00,0,top
R97,"0402.fp","10k",2787.00,834.00,0,top
R98,"0603.fp","0",2599.00,1455.00,180,bottom
FB1,"0603.fp","unknown",3028.00,790.41,90,bottom
C218,"0402.fp","0.1_uF",3004.00,1278.00,270,bottom
C219,"0402.fp","0.1_uF",2999.00,1132.00,90,bottom
C220,"0805.fp","10_uF",2603.00,728.00,0,top
C221,"0402.fp","0.1_uF",2818.00,986.00,90,top
FB2,"0603.fp","unknown",2725.00,781.00,0,top
C222,"0402.fp","0.1_uF",2469.00,897.00,90,bottom
C223,"0402.fp","0.1_uF",2762.00,979.00,180,bottom
C224,"0402.fp","0.1_uF",2544.00,936.00,0,bottom
C225,"0805.fp","10_uF",2477.57,797.00,180,bottom
R99,"0603.fp","0",2598.59,787.00,0,bottom
FB3,"0603.fp","unknown",2946.00,1436.00,0,bottom
C226,"0805.fp","10_uF",2870.43,883.00,180,bottom
C227,"0402.fp","0.1_uF",2904.00,1389.00,180,bottom
C228,"0402.fp","0.1_uF",2905.00,990.00,180,bottom
R106,"0402.fp","1k",2199.00,992.00,270,bottom
R107,"0402.fp","4.7k",2238.00,993.00,270,bottom
R108,"0402.fp","NONE",3220.74,1368.74,270,top
R109,"0402.fp","1k",3095.00,1330.26,90,top
R110,"0402.fp","1k",3219.00,1430.26,270,top
R111,"0402.fp","NONE",3094.00,1391.74,90,top
R124,"0402.fp","10k",3032.00,1055.00,90,top
R125,"0402.fp","NONE",3032.00,994.00,90,top
C214,"0402.fp","220_pF",1743.00,810.26,270,top
C215,"0603.fp","18_nF",1792.00,825.00,270,top
R88,"0402.fp","820",1792.00,908.74,270,top
C143,"0402.fp","0.1_uF",2401.00,2530.00,180,bottom
C147,"0402.fp","0.1_uF",2155.00,2529.00,0,bottom
U5,"QFN48_EP","unknown",1435.00,2580.00,0,top
C94,"0402.fp","0.1_uF",1318.00,2351.00,90,top
R46,"0402.fp","10k",2104.00,2771.00,0,top
R82,"0402.fp","10k",1867.74,3081.26,90,top
R81,"0402.fp","10k",1873.00,3004.00,90,top
C193,"0805.fp","10_uF",2442.00,1385.00,180,bottom
C185,"0402.fp","0.1_uF",2745.74,1515.00,180,bottom
U1,"QFN28_EP","unknown",990.00,3210.00,0,top
C142,"0805.fp","10_uF",2487.26,2174.00,180,bottom
R51,"0402.fp","220",3398.26,1392.00,0,top
R52,"0402.fp","220",3313.00,1328.00,0,top
C162,"0805.fp","10_uF",2257.17,2408.00,0,bottom
C165,"0402.fp","0.1_uF",2808.26,2482.00,180,bottom
